,name,gPlusPlaceId,location/lat,location/lng,address,url,categories,categoryName,average_rating,average_predict_rating,total_rows
1605,Công viên Thanh Niên 15/10,ChIJjZsgClcodTERkixxnTveZZo,10.8363207,106.6862431,"94/1043Y Đường số 20, Phường 6, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+Thanh+Ni%C3%AAn+15%2F10/@10.8363207,106.6862431,17z/data=!3m1!4b1!4m6!3m5!1s0x317528570a209b8d:0x9a65de3b9d712c92!8m2!3d10.8363207!4d106.6862431!16s%2Fg%2F11cjj3zm0t?hl=vi&entry=ttu",Công viên,Công viên,4.391304347826087,4.109229635172713,23
1606,Công viên Thảo Nguyên,ChIJY56zw1QndTERJkqWrCUkLmI,10.8661971,106.8165594,"48 Đường Số 1A, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJY56zw1QndTERJkqWrCUkLmI,Công viên,Công viên,3.8,4.215329529695119,5
1607,Công viên Tôn Đức Thắng,ChIJQ_M2XsQvdTER5vzCoiFF9AM,10.7313271,106.6976365,"PMJX+G3J, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+T%C3%B4n+%C4%90%E1%BB%A9c+Th%E1%BA%AFng/@10.7313271,106.6976365,17z/data=!3m1!4b1!4m6!3m5!1s0x31752fc45e36f343:0x3f44521a2c2fce6!8m2!3d10.7313271!4d106.6976365!16s%2Fg%2F11fn03jpwc?hl=vi&entry=ttu",Công viên,Công viên,4.5,4.128076554551175,2
1608,Công viên Tạ Quang Bửu,ChIJk3N3ekgvdTERbr0CEsvxZPI,10.7370478,106.6760069,"108 Đ. Võ Liêm Sơn, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+T%E1%BA%A1+Quang+B%E1%BB%ADu/@10.7370478,106.6760069,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f487a777393:0xf264f1cb1202bd6e!8m2!3d10.7370478!4d106.6760069!16s%2Fg%2F11fd6mr0j5?hl=vi&entry=ttu",Công viên,Công viên,3.782608695652174,4.1433434251646375,23
1609,Công viên Văn Lang,ChIJJYPC92kvdTERV2zfVA887xU,10.7565717,106.6678768,"238 Đ. An Dương Vương, Phường 9, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+V%C4%83n+Lang/@10.7565717,106.6678768,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f69f7c28325:0x15ef3c0f54df6c57!8m2!3d10.7565717!4d106.6678768!16s%2Fg%2F11rr7ld5kb?hl=vi&entry=ttu",Công viên,Công viên,4.580246913580247,4.113141858673215,81
1610,Công viên Văn hóa Đầm Sen,ChIJa2jyR5cudTERy2ySbqgJudk,10.7660903,106.6418941,"262 Lạc Long Quân, Phường 5, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJa2jyR5cudTERy2ySbqgJudk,Công viên giải trí,Công viên giải trí,3.940193491644679,4.104315887499442,1137
1611,Công viên bờ sông Sài Gòn,ChIJT0fY8LovdTERtJj9FKTrQBw,10.7784085,106.7105471,"QPH6+967, Nguyễn Thiện Thành, An Khánh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJT0fY8LovdTERtJj9FKTrQBw,Công viên,Công viên,5.0,3.969374260948981,12
1612,Công viên du lịch sinh thái Hóc Môn,ChIJAZJk38ErdTERQxR2TumxHUg,10.857752,106.5817266,"106 Xuân Thới Thượng 6, Xuân Thới Thượng, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJAZJk38ErdTERQxR2TumxHUg,Công viên,Công viên,4.191919191919192,4.107191871301935,99
1613,Công viên dạ cầu Sài Gòn 1,ChIJq39DtBsndTER41T_Uh88bh8,10.7985509,106.7314998,"QPXJ+CHH, Bình An, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJq39DtBsndTER41T_Uh88bh8,Công viên,Công viên,4.380952380952381,4.090054306915848,21
1614,Công viên khu công nghệ cao,ChIJf7ZRWx8ndTERS7M5vNhQNEY,10.8559811,106.7958819,"Số 14 Đ. N1, Phường Tân Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJf7ZRWx8ndTERS7M5vNhQNEY,Công viên,Công viên,5.0,4.23890790786293,1
1615,Công viên lịch sử Văn hóa Dân tộc,ChIJt4Mp707fdDER9tdvWwmMlxg,10.8837882,106.824731,"VRMF+GV9, Đường 16, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJt4Mp707fdDER9tdvWwmMlxg,"Công viên lưu niệm, Điểm thu hút khách du lịch",Công viên lưu niệm,4.536842105263158,4.125519443889762,285
1616,Công viên nước Củ Chi 2023,ChIJ5Q-QkEMrCzERuJ3RSzzUZEY,10.9799978,106.5312492,"TL8, ấp 4, Củ Chi, Thành phố Hồ Chí Minh 80000, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+n%C6%B0%E1%BB%9Bc+C%E1%BB%A7+Chi+2023/@10.9799978,106.5312492,17z/data=!3m1!4b1!4m6!3m5!1s0x310b2b4390900fe5:0x4664d43c4bd19db8!8m2!3d10.9799978!4d106.5312492!16s%2Fg%2F11v42g3wvl?hl=vi&entry=ttu",Công viên nước,Công viên nước,5.0,4.090263456464422,2
1617,Công viên ven sông,ChIJ1cRnCQAvdTER0Zz3R6cjDBc,10.7422425,106.6514774,"PMR2+VHX, Phường 14, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+ven+s%C3%B4ng/@10.7422425,106.6514774,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f000967c4d5:0x170c23a747f79cd1!8m2!3d10.7422425!4d106.6514774!16s%2Fg%2F11vpcvcyb9?hl=vi&entry=ttu",Công viên,Công viên,3.0,4.204106836566686,1
1618,Công viên ven sông KDC Tân Quy Đông,ChIJvQJMbtUvdTERPWnGuyBWysg,10.7348957,106.7116347,"41 Đường số 40, Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+ven+s%C3%B4ng+KDC+T%C3%A2n+Quy+%C4%90%C3%B4ng/@10.7348957,106.7116347,17z/data=!3m1!4b1!4m6!3m5!1s0x31752fd56e4c02bd:0xc8ca5620bbc6693d!8m2!3d10.7348957!4d106.7116347!16s%2Fg%2F11st67wr6q?hl=vi&entry=ttu",Công viên,Công viên,5.0,4.1439613367087285,1
