"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","location/lat","location/lng","address","permanentlyClosed","url"
"ChIJpclwB70ndTER-XYpPtMwg18","Trường THCS Tam Bình","Trường THCS",,,,,,,,,"Trường THCS","10.8660179","106.7350177","2 Đường số 10, Tam Binh, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJpclwB70ndTER-XYpPtMwg18"
"ChIJA96_I5MndTER1RLVE3Hkocg","Nhà hàng Năm Lửa 18","Nhà hàng",,,,,,,,,"Nhà hàng","10.8654064","106.7341171","Số 2. Kdc, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJA96_I5MndTER1RLVE3Hkocg"
"ChIJ64JPhMUhdTERy70XcikhxBA","Ruby Homestay and Coffee","Đại lý cho thuê căn hộ",,,,,,,,,"Đại lý cho thuê căn hộ","10.8331453","106.8439121","Khu Biệt Thự Manhantan Glory, Vinhome Grand Park, Thủ Đức, Thành phố Hồ Chí Minh 71300, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ64JPhMUhdTERy70XcikhxBA"
"ChIJS6D75fondTERTnTNuJtB4c8","Lẩu Ếch Cô Tư","Quán ăn nhỏ",,,,,,,,,"Quán ăn nhỏ","10.8653352","106.7330218","Hẻm 27 Đ. số 12, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJS6D75fondTERTnTNuJtB4c8"
"ChIJlbZCUAshdTERxCA4zd5qWsc","Bến Du Thuyền Manhattan Glory","Bến du thuyền",,,,,,,,,"Bến du thuyền","10.8329752","106.8416801","Unnamed Road, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJlbZCUAshdTERxCA4zd5qWsc"
"ChIJtSvPypcndTERgYwOHeB5zwc","Thang Long Home - Hưng Phú","Khu liên hợp căn hộ",,,,,,,,,"Khu liên hợp căn hộ","10.8644022","106.7414573","563 Tô Ngọc Vân, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJtSvPypcndTERgYwOHeB5zwc"
"ChIJERzvnjAhdTERgOgxrr2M2Nc","Công viên PK Manhattan Glory","Công viên",,,,,,,,,"Công viên","10.8325772","106.8431266","RRMV+27, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJERzvnjAhdTERgOgxrr2M2Nc"
"ChIJ37IOBc4ndTER5bRPmfokuX4","Bệnh Viện Thành Phố Thủ Đức","Bệnh viện","Bác sĩ",,,,,,,,"Bệnh viện","10.8643398","106.7456713","29 Phú Châu, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh 70000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ37IOBc4ndTER5bRPmfokuX4"
"ChIJZTHhLxohdTERnep1x7d_wZE","Công Ty TNHH Lê Trung Thiên","Nhà sản xuất",,,,,,,,,"Nhà sản xuất","10.8324558","106.8322223","450 Nguyễn Xiển, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJZTHhLxohdTERnep1x7d_wZE"
"ChIJ_yjD6bYndTERIaTOPtORCQo","Siêu thị Co.opmart Tam Bình","Siêu thị",,,,,,,,,"Siêu thị","10.8641098","106.7343586","Chung cư Sài Gòn Avenue, Đ. Số 4, khu phố 4, Thủ Đức, Thành phố Hồ Chí Minh 70000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ_yjD6bYndTERIaTOPtORCQo"
"ChIJueH3fEchdTERxHOZxRlISBY","SOFAST factory","Nhà sản xuất nội thất",,,,,,,,,"Nhà sản xuất nội thất","10.8288334","106.8336806","68 Đường Số 23, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh 71216, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJueH3fEchdTERxHOZxRlISBY"
"ChIJxWlPQAAndTERes5qrKjdRfU","Cafe Phúc Khang","Quán cà phê",,,,,,,,,"Quán cà phê","10.8635567","106.7358098","45/11 Đ. Số 11, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJxWlPQAAndTERes5qrKjdRfU"
"ChIJVQZGkUkhdTERX5JExQuw7Lw","Vườn Cò Bên Sông","Nhà hàng",,,,,,,,,"Nhà hàng","10.8286654","106.8342321","Long Thạnh Mỹ, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJVQZGkUkhdTERX5JExQuw7Lw"
"ChIJu1Z4C_IndTER5JO3JvsQ-Ro","Chùa Vạn Đức","Chùa phật giáo",,,,,,,,,"Chùa phật giáo","10.8634339","106.742586","502 Tô Ngọc Vân, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJu1Z4C_IndTER5JO3JvsQ-Ro"
"ChIJ7ZCNy3QhdTER7WwyKuUJsWY","Vườn cò Hồng Ký","Nhà hàng",,,,,,,,,"Nhà hàng","10.827905","106.8349986","35 Đường 23, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ7ZCNy3QhdTER7WwyKuUJsWY"
